DateTime,Entries,UniqueIPs
1540604419,1068,1068
1540605391,1060,1060
1540606352,1061,1061
1540607287,1075,1075
1540608265,1084,1084
1540609218,1094,1094
1540610181,1109,1109
1540611141,1117,1117
1540612102,1123,1123
1540613073,1132,1132
1540614024,1129,1129
1540614982,1136,1136
1540615943,1115,1115
1540616912,1086,1086
1540617872,1071,1071
1540618832,1058,1058
1540619797,1040,1040
1540620757,1037,1037
1540621693,1039,1039
1540622660,1031,1031
1540623642,1029,1029
1540624582,1035,1035
1540625563,1031,1031
1540626494,1034,1034
1540627484,1038,1038
1540628423,1039,1039
1540629395,1040,1040
1540630341,1037,1037
1540631305,1033,1033
1540632251,1034,1034
1540633221,1037,1037
1540634179,1031,1031
1540635145,1026,1026
1540636088,1030,1030
1540637081,1030,1030
1540638015,1026,1026
1540639116,1016,1016
1540640178,1008,1008
1540641135,1007,1007
1540642102,1011,1011
1540643059,1008,1008
1540644025,1006,1006
1540644976,998,998
1540645939,998,998
1540646914,999,999
1540647853,999,999
1540648836,1011,1011
1540649785,1003,1003
1540650744,1006,1006
1540651697,1007,1007
1540652665,1013,1013
1540653609,1023,1023
1540654589,1036,1036
1540655535,1032,1032
1540656559,1036,1036
1540657696,1038,1038
1540658662,1038,1038
1540659626,1031,1031
1540660589,1029,1029
1540661532,1030,1030
1540662623,1037,1037
1540663688,1029,1029
1540664652,1035,1035
1540665614,1038,1038
1540666568,1050,1050
1540667555,1056,1056
1540668490,1060,1060
1540669454,1063,1063
1540670415,1076,1076
1540671381,1081,1081
1540672337,1074,1074
1540673292,1069,1069
1540674524,1072,1072
1540675707,1073,1073
1540676668,1085,1085
1540677620,1087,1087
1540678581,1095,1095
1540679540,1095,1095
1540680492,1097,1097
1540681498,1104,1104
1540682441,1100,1100
1540683369,1099,1099
1540684337,1108,1108
1540685310,1092,1092
1540686266,1097,1097
1540687209,1102,1102
1540688427,1107,1107
1540689639,1100,1100
1540690592,1105,1105
1540691578,1120,1120
1540692517,1120,1120
1540693473,1123,1123
1540694409,1130,1130
1540695374,1133,1133
1540696343,1139,1139
1540697293,1142,1142
1540698272,1141,1141
1540699216,1145,1145
1540700181,1151,1151
1540701146,1149,1149
1540702106,1143,1143
1540703057,1147,1147
1540704018,1145,1145
1540704988,1141,1141
1540705933,1152,1152
1540706910,1154,1154
1540707857,1158,1158
1540709057,1163,1163
1540710018,1156,1156
1540710989,1137,1137
1540711939,1134,1134
1540712897,1128,1128
1540713858,1123,1123
1540714809,1119,1119
1540715789,1120,1120
1540716760,1118,1118
1540717942,1121,1121
1540718889,1117,1117
1540719873,1118,1118
1540720814,1120,1120
1540721776,1121,1121
1540722739,1118,1118
1540723694,1112,1112
1540724665,1109,1109
1540725608,1101,1101
1540726574,1097,1097
1540727536,1102,1102
1540728504,1104,1104
1540729468,1105,1105
1540730419,1101,1101
1540731373,1100,1100
1540732339,1097,1097
1540733304,1099,1099
1540734270,1100,1100
1540735213,1094,1094
1540736188,1099,1099
1540737139,1093,1093
1540738093,1097,1097
1540739064,1098,1098
1540740013,1102,1102
1540741001,1102,1102
1540741934,1106,1106
1540742933,1098,1098
1540743855,1091,1091
1540744830,1092,1092
1540745774,1092,1092
1540747256,1096,1096
1540748415,1091,1091
1540749393,1077,1077
1540750344,1071,1071
1540751299,1071,1071
1540752252,1061,1061
1540753242,1052,1052
1540754178,1045,1045
1540755142,1040,1040
1540756092,1046,1046
1540757081,1040,1040
1540758007,1031,1031
1540758975,1031,1031
1540759938,1034,1034
1540760905,1036,1036
1540761852,1029,1029
1540762815,1030,1030
1540763775,1019,1019
1540764742,1017,1017
1540765688,1012,1012
1540766674,999,999
1540767614,988,988
1540768584,986,986
1540769538,976,976
1540770503,955,955
1540771463,943,943
1540772415,924,924
1540773380,893,893
1540774341,875,875
1540775318,861,861
1540776278,854,854
1540777485,835,835
1540778660,831,831
1540779621,833,833
1540780579,826,826
1540781539,818,818
