DateTime,Entries,UniqueIPs
1540624822,8261,8261
1540625557,8256,8256
1540626265,8269,8269
1540627018,8262,8262
1540627962,8244,8244
1540628667,8276,8276
1540629389,8269,8269
1540630108,8284,8284
1540630836,8275,8275
1540631798,8276,8276
1540632757,8303,8303
1540633711,8308,8308
1540634683,8329,8329
1540635633,8294,8294
1540636350,8286,8286
1540637076,8321,8321
1540637784,8316,8316
1540638517,8332,8332
1540639712,8289,8289
1540640669,8303,8303
1540641679,8242,8242
1540642601,8283,8283
1540643557,8275,8275
1540644512,8298,8298
1540645478,8306,8306
1540646431,8303,8303
1540647397,8295,8295
1540648375,8285,8285
1540649320,8306,8306
1540650271,8316,8316
1540651229,8316,8316
1540652192,8309,8309
1540653158,8305,8305
1540654116,8296,8296
1540655079,8313,8313
1540656040,8314,8314
1540657240,8316,8316
1540658196,8334,8334
1540659155,8322,8322
1540660117,8344,8344
1540661068,8236,8236
1540661783,8351,8351
1540662516,8328,8328
1540663234,8341,8341
1540664196,8307,8307
1540665158,8286,8286
1540666110,8308,8308
1540667082,8296,8296
1540668032,8319,8319
1540669000,8323,8323
1540669970,8239,8239
1540670920,8325,8325
1540671867,8283,8283
1540672830,8271,8271
1540673543,8266,8266
1540674519,8291,8291
1540675247,8242,8242
1540676184,8268,8268
1540677137,8264,8264
1540678126,8297,8297
1540679068,8272,8272
1540680032,8278,8278
1540680739,8252,8252
1540681492,8205,8205
1540682435,8232,8232
1540683152,8264,8264
1540683871,8281,8281
1540684838,8254,8254
1540685790,8241,8241
1540686739,8212,8212
1540687450,8243,8243
1540688421,8257,8257
1540689135,8222,8222
1540690121,8236,8236
1540691053,8257,8257
1540692038,8213,8213
1540692980,8194,8194
1540693941,8267,8267
1540694911,8233,8233
1540695882,8252,8252
1540696838,8241,8241
1540697550,8227,8227
1540698267,8225,8225
1540698982,8225,8225
1540699727,8255,8255
1540700671,8243,8243
1540701626,8219,8219
1540702576,8232,8232
1540703564,8199,8199
1540704512,8187,8187
1540705475,8230,8230
1540706439,8186,8186
1540707130,8244,8244
1540707851,8223,8223
1540708598,8200,8200
1540709559,8227,8227
1540710522,8262,8262
1540711498,8240,8240
1540712429,8222,8222
1540713393,8236,8236
1540714354,8197,8197
1540715066,8232,8232
1540715783,8221,8221
1540716754,8221,8221
1540717472,8257,8257
1540718437,8254,8254
1540719150,8256,8256
1540719867,8232,8232
1540720588,8198,8198
1540721316,8238,8238
1540722275,8213,8213
1540723237,8215,8215
1540724191,8218,8218
1540725160,8242,8242
1540726243,8240,8240
1540727076,8225,8225
1540728074,8215,8215
1540729006,8215,8215
1540729936,8275,8275
1540730649,8269,8269
1540731367,8275,8275
1540732096,8274,8274
1540732810,8278,8278
1540733784,8294,8294
1540734735,8277,8277
1540735720,8289,8289
1540736671,8212,8212
1540737629,8144,8144
1540738597,8250,8250
1540739558,8237,8237
1540740265,8123,8123
1540740994,8261,8261
1540741704,8285,8285
1540742434,8272,8272
1540743396,8262,8262
1540744355,8268,8268
1540745311,8258,8258
1540746277,8281,8281
1540747251,8284,8284
1540747957,8280,8280
1540748913,8270,8270
1540749875,8306,8306
1540750832,8301,8301
1540751800,8297,8297
1540752754,8301,8301
1540753719,8328,8328
1540754687,8287,8287
1540755641,8313,8313
1540756345,8303,8303
1540757076,8307,8307
1540757786,8282,8282
1540758504,8278,8278
1540759475,8282,8282
1540760434,8291,8291
1540761398,8253,8253
1540762355,8272,8272
1540763315,8277,8277
1540764276,8286,8286
1540765234,8282,8282
1540765947,8289,8289
1540766669,8291,8291
1540767382,8285,8285
1540768121,8274,8274
1540769092,8241,8241
1540770030,8264,8264
1540770992,8241,8241
1540771955,8250,8250
1540772913,8247,8247
1540773884,8241,8241
1540774840,8241,8241
1540775780,8250,8250
1540776756,8266,8266
1540777479,8215,8215
1540778198,8210,8210
1540779155,8200,8200
1540780116,8234,8234
1540781069,8216,8216
1540782050,8228,8228
1540782986,8190,8190
1540783959,8216,8216
1540784649,8226,8226
1540785367,8201,8201
1540786360,8217,8217
1540787052,8224,8224
1540788027,8226,8226
1540788994,8224,8224
1540789944,8192,8192
1540790898,8170,8170
1540791859,8215,8215
